customer_id,gender,senior_citizen,partner,dependents,tenure,tenure_group,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn
3605-JISKB,Male,1,Yes,No,55,Tenure_48-60,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),60,3316.10009765625,no
4003-OCTMP,Female,0,Yes,No,31,Tenure_24-48,Yes,No,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Electronic check,64,1910.75,no
6202-DYYFX,Female,0,No,No,22,Tenure_12-24,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),76,1783.5999755859375,no
1389-WNUIB,Female,0,Yes,Yes,20,Tenure_12-24,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Bank transfer (automatic),76,1588.75,no
1088-CNNKB,Male,0,Yes,No,63,Tenure_gt_60,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,No,Credit card (automatic),80,5040.2001953125,no
4106-HADHQ,Male,0,Yes,Yes,39,Tenure_24-48,Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),80,3182.949951171875,yes
2055-BFOCC,Male,1,Yes,No,63,Tenure_gt_60,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),84,5329.5498046875,no
8752-GHJFU,Male,1,Yes,No,71,Tenure_gt_60,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Electronic check,92,6585.2001953125,no
6728-VOIFY,Female,0,Yes,No,63,Tenure_gt_60,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,96,6109.75,no
0727-BMPLR,Female,1,No,No,55,Tenure_48-60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,100,5509.2998046875,yes
6849-OYAMU,Male,0,Yes,Yes,19,Tenure_12-24,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),100,1888.6500244140625,yes
7486-KSRVI,Male,0,No,No,43,Tenure_24-48,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,100,4211.5498046875,yes
0327-WFZSY,Male,0,Yes,Yes,39,Tenure_24-48,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,100,3835.550048828125,no
2252-JHJGE,Male,0,No,No,61,Tenure_gt_60,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,104,6363.4501953125,no
4135-FRWKJ,Female,1,Yes,Yes,55,Tenure_48-60,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,No,One year,No,Electronic check,76.25,4154.5498046875,no
7654-YWJUF,Male,0,Yes,No,43,Tenure_24-48,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),84.25,3539.25,no
8034-RYTVV,Female,0,No,No,55,Tenure_48-60,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),84.25,4589.85009765625,no
6199-IWKGC,Female,1,Yes,No,46,Tenure_24-48,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,No,Electronic check,100.25,4753.85009765625,no
9402-ROUMJ,Female,0,Yes,Yes,67,Tenure_gt_60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),100.25,6689,no
9821-BESNZ,Male,0,No,No,66,Tenure_gt_60,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Electronic check,104.25,6860.60009765625,no
7550-WIQVA,Male,0,Yes,Yes,50,Tenure_48-60,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,108.25,5431.39990234375,no
4374-YMUSQ,Male,0,No,No,34,Tenure_24-48,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),116.25,3899.050048828125,no
4868-AADLV,Male,1,Yes,Yes,66,Tenure_gt_60,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,116.25,7862.25,no
3648-GZPHF,Male,0,Yes,Yes,32,Tenure_24-48,No,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Mailed check,36.25,1151.050048828125,no
2606-PKWJB,Male,0,No,Yes,40,Tenure_24-48,No,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,40.25,1564.050048828125,no
1729-VLAZJ,Female,0,No,Yes,10,Tenure_0-12,No,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,40.25,411.45001220703125,no
9746-YKGXB,Male,0,Yes,Yes,52,Tenure_48-60,No,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Bank transfer (automatic),44.25,2276.10009765625,no
5777-KJIRB,Female,0,No,No,40,Tenure_24-48,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Mailed check,50.25,2023.550048828125,no
3354-OADJP,Female,0,No,No,8,Tenure_0-12,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),54.25,447.75,no
6994-ORCWG,Female,0,No,No,14,Tenure_12-24,Yes,Yes,DSL,No,Yes,No,No,No,No,One year,Yes,Mailed check,54.25,773.20001220703125,no
0661-WCQNQ,Male,0,Yes,No,22,Tenure_12-24,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,Yes,Credit card (automatic),56.25,1292.199951171875,no
7508-KBIMB,Male,0,Yes,Yes,24,Tenure_12-24,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),56.25,1454.25,no
6152-ONASV,Female,0,Yes,No,68,Tenure_gt_60,Yes,Yes,DSL,Yes,No,No,Yes,No,No,One year,No,Bank transfer (automatic),58.25,3975.699951171875,no
8220-OCUFY,Female,0,No,No,21,Tenure_12-24,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Electronic check,60.25,1258.3499755859375,no
3489-VSFRD,Female,0,No,No,56,Tenure_48-60,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),60.25,3282.75,no
6440-DKQGE,Male,0,No,Yes,30,Tenure_24-48,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,1929.949951171875,no
8845-LWKGE,Female,0,Yes,Yes,30,Tenure_24-48,Yes,No,DSL,No,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,64.5,1985.1500244140625,no
1338-CECEE,Male,0,Yes,Yes,41,Tenure_24-48,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),68.5,2839.949951171875,no
0898-XCGTF,Male,0,Yes,No,61,Tenure_gt_60,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),96.5,5673.7001953125,no
8982-NHAVY,Male,0,No,No,27,Tenure_24-48,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),100.5,2673.449951171875,no
0512-FLFDW,Female,1,Yes,No,60,Tenure_48-60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100.5,6029,no
5370-IIVVL,Male,0,No,No,37,Tenure_24-48,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),104.5,3778,no
0565-JUPYD,Male,0,No,No,63,Tenure_gt_60,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,One year,No,Credit card (automatic),104.5,6590.7998046875,no
5168-MQQCA,Female,0,Yes,No,72,Tenure_gt_60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),108.5,8003.7998046875,no
5966-EMAZU,Male,0,Yes,No,64,Tenure_gt_60,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,108.5,6880.85009765625,no
7945-HLKEA,Female,0,No,No,60,Tenure_48-60,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Electronic check,64.75,4039.5,no
6253-WRFHY,Male,0,Yes,Yes,13,Tenure_12-24,Yes,No,DSL,No,No,No,No,Yes,Yes,One year,Yes,Electronic check,64.75,877.3499755859375,no
5791-KAJFD,Female,0,Yes,Yes,56,Tenure_48-60,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),68.75,3808,no
5829-NVSQN,Female,0,Yes,No,23,Tenure_12-24,Yes,No,DSL,Yes,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),68.75,1689.449951171875,no
4578-PHJYZ,Male,0,Yes,Yes,52,Tenure_48-60,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Electronic check,68.75,3482.85009765625,no
4114-QMKVN,Female,0,Yes,Yes,56,Tenure_48-60,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),68.75,3815.39990234375,no
8932-CZHRQ,Male,0,No,No,68,Tenure_gt_60,Yes,Yes,DSL,Yes,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),76.75,5233.25,no
8097-OMULG,Male,0,Yes,Yes,59,Tenure_48-60,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),76.75,4541.89990234375,no
7013-PSXHK,Female,0,No,No,40,Tenure_24-48,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,80.75,3208.64990234375,no
3009-JWMPU,Male,0,No,No,62,Tenure_gt_60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,96.75,6125.39990234375,yes
0824-VWDPO,Female,0,No,No,45,Tenure_24-48,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,Yes,One year,No,Bank transfer (automatic),96.75,4442.75,no
5195-KPUNQ,Female,1,No,No,53,Tenure_48-60,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,One year,Yes,Mailed check,96.75,5206.5498046875,no
2293-IJWPS,Female,0,Yes,No,57,Tenure_48-60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),100.75,5985,no
3756-VNWDH,Male,1,Yes,No,65,Tenure_gt_60,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,100.75,6674.64990234375,no
4612-THJBS,Female,1,No,No,56,Tenure_48-60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),104.75,5510.64990234375,yes
8213-TAZPM,Female,0,Yes,Yes,69,Tenure_gt_60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),108.75,7493.0498046875,no
6823-SIDFQ,Male,0,No,No,28,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),18.25,534.70001220703125,no
9531-NSBMR,Female,0,No,No,36,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.25,679.79998779296875,no
9617-UDPEU,Female,0,No,No,22,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,19.25,412.54998779296875,no
5924-SNGKP,Female,0,No,Yes,41,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),20.25,865,no
1178-PZGAB,Female,0,No,No,19,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),20.25,383.64999389648438,no
6188-UXBBR,Female,0,Yes,No,38,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),20.25,814.75,no
4518-FZBSX,Male,0,Yes,Yes,42,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.25,854.9000244140625,no
1834-WULEG,Male,0,Yes,Yes,24,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.25,439.75,no
4393-OBCRR,Female,0,No,No,3,Tenure_0-12,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.25,71.199996948242188,no
4537-CIBHB,Female,0,Yes,Yes,9,Tenure_0-12,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.25,172.35000610351562,no
6072-NUQCB,Male,0,Yes,Yes,22,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),20.25,488.25,no
7353-YOWFP,Female,0,No,No,7,Tenure_0-12,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.25,129.14999389648438,no
8461-EFQYM,Female,0,No,No,38,Tenure_24-48,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Electronic check,24.25,914.4000244140625,no
1696-MZVAU,Male,0,Yes,Yes,39,Tenure_24-48,No,No,DSL,No,No,No,No,No,No,One year,Yes,Credit card (automatic),25.25,947.75,no
4776-XSKYQ,Female,0,Yes,Yes,12,Tenure_0-12,No,No,DSL,No,No,No,Yes,No,No,One year,No,Credit card (automatic),30.25,368.85000610351562,no
2239-CGBUZ,Female,0,Yes,No,51,Tenure_48-60,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),60.5,3145.14990234375,no
2969-VAPYH,Female,0,No,No,67,Tenure_gt_60,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,No,Credit card (automatic),60.5,3870,no
0303-UNCIP,Male,0,No,No,41,Tenure_24-48,Yes,Yes,DSL,No,No,Yes,No,No,Yes,One year,No,Mailed check,65,2531.800048828125,no
6992-TKNYO,Male,0,Yes,No,38,Tenure_24-48,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,No,Credit card (automatic),69,2669.449951171875,no
9609-BENEA,Male,0,Yes,No,35,Tenure_24-48,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,69,2441.699951171875,no
0471-LVHGK,Male,0,Yes,No,41,Tenure_24-48,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,73,3001.199951171875,yes
4227-OJHAL,Female,0,Yes,Yes,68,Tenure_gt_60,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,One year,Yes,Credit card (automatic),73,5163,no
2851-STERV,Male,1,No,No,35,Tenure_24-48,Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,73,2471.25,no
3224-DFQNQ,Female,0,Yes,No,66,Tenure_gt_60,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,89,5898.60009765625,no
4654-DLAMQ,Female,1,Yes,No,64,Tenure_gt_60,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),97,6430.89990234375,no
6874-SGLHU,Male,0,No,No,30,Tenure_24-48,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),97,3021.300048828125,no
6769-DCQLI,Male,0,No,No,52,Tenure_48-60,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),105,5426.85009765625,yes
5985-BEHZK,Female,1,Yes,No,72,Tenure_gt_60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),105,7578.0498046875,no
7184-LRUUR,Female,0,No,No,22,Tenure_12-24,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),65.25,1441.800048828125,no
7994-XIRTR,Male,1,No,No,54,Tenure_48-60,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),65.25,3529.949951171875,no
3115-JPJDD,Female,0,Yes,No,59,Tenure_48-60,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),81.25,4639.4501953125,no
0083-PIVIK,Male,0,No,No,64,Tenure_gt_60,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,One year,No,Electronic check,81.25,5567.5498046875,no
0723-FDLAY,Male,0,No,No,44,Tenure_24-48,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),85.25,3704.14990234375,no
3339-EAQNV,Male,1,Yes,No,72,Tenure_gt_60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),97.25,7133.10009765625,no
5811-IWXYM,Female,0,Yes,Yes,52,Tenure_48-60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),101.25,5301.10009765625,no
3567-PQTSO,Male,0,Yes,Yes,53,Tenure_48-60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,105.25,5576.2998046875,no
3886-CERTZ,Female,0,Yes,No,72,Tenure_gt_60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,109.25,8109.7998046875,yes
6537-OTKMY,Male,0,No,No,15,Tenure_12-24,No,No,DSL,No,No,Yes,No,Yes,Yes,One year,No,Electronic check,50.75,688.20001220703125,no
1708-PBBOA,Female,0,No,No,42,Tenure_24-48,No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Electronic check,54.75,2348.449951171875,no
1042-HFUCW,Female,0,No,Yes,25,Tenure_24-48,Yes,No,DSL,No,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),54.75,1266.3499755859375,no
8050-XGRVL,Female,0,Yes,Yes,62,Tenure_gt_60,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Credit card (automatic),54.75,3425.35009765625,no
8680-CGLTP,Male,0,No,No,29,Tenure_24-48,Yes,No,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Electronic check,58.75,1696.199951171875,no
2027-DNKIV,Male,0,Yes,Yes,37,Tenure_24-48,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,Yes,Mailed check,58.75,2203.10009765625,no
2581-VKIRT,Female,0,Yes,Yes,59,Tenure_48-60,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Mailed check,65.5,3801.300048828125,no
3523-QRQLL,Female,0,Yes,Yes,22,Tenure_12-24,Yes,No,DSL,No,Yes,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),69.5,1498.199951171875,yes
8559-CIZFV,Male,0,Yes,Yes,21,Tenure_12-24,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Mailed check,77.5,1625,yes
3301-VKTGC,Male,0,Yes,Yes,68,Tenure_gt_60,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),85.5,5696.60009765625,no
4075-JFPGR,Female,0,Yes,No,51,Tenure_48-60,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,Yes,Electronic check,93.5,4619.5498046875,no
0406-BPDVR,Female,1,Yes,No,54,Tenure_48-60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,One year,Yes,Credit card (automatic),101.5,5373.10009765625,yes
0193-ESZXP,Female,1,Yes,No,58,Tenure_48-60,Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),105.5,6205.5,yes
0748-RDGGM,Male,0,Yes,No,70,Tenure_gt_60,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),109.5,7534.64990234375,yes
1984-FCOWB,Female,0,Yes,No,70,Tenure_gt_60,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,109.5,7674.5498046875,yes
0743-HNPFG,Female,0,Yes,Yes,51,Tenure_48-60,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Credit card (automatic),69.75,3562.5,no
8970-ANWXO,Female,0,No,No,23,Tenure_12-24,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Mailed check,73.75,1756.5999755859375,no
8079-XRJRS,Male,0,Yes,No,65,Tenure_gt_60,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,One year,No,Electronic check,89.75,5769.60009765625,yes
5294-IMHHT,Male,0,Yes,No,53,Tenure_48-60,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Bank transfer (automatic),97.75,5043.2001953125,no
2623-DRYAM,Female,0,Yes,No,70,Tenure_gt_60,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.75,7069.2998046875,no
0308-GIQJT,Male,1,No,No,71,Tenure_gt_60,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),105.75,7382.85009765625,no
8999-XXGNS,Female,1,Yes,No,72,Tenure_gt_60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),105.75,7629.85009765625,no
3858-XHYJO,Female,0,Yes,No,40,Tenure_24-48,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),105.75,4228.5498046875,no
2056-EVGZL,Male,0,Yes,Yes,68,Tenure_gt_60,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Credit card (automatic),105.75,7322.5,no
2550-QHZGP,Male,0,No,No,7,Tenure_0-12,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.5,128.60000610351562,no
8076-FEZKJ,Male,0,No,No,10,Tenure_0-12,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.5,225.85000610351562,no
7649-PHJVR,Male,0,No,No,11,Tenure_0-12,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.5,226.80000305175781,no
2122-SZZZD,Male,0,No,No,44,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,No,Credit card (automatic),19.5,835.5,no
8395-ETZKQ,Male,1,Yes,Yes,68,Tenure_gt_60,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.5,1193.550048828125,no
0428-AXXLJ,Male,0,No,No,25,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),19.5,516.29998779296875,no
3423-HHXAO,Female,0,Yes,Yes,14,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,19.5,272,no
4644-OBGFZ,Male,0,Yes,Yes,55,Tenure_48-60,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.5,1026.3499755859375,no
7216-KAOID,Male,0,Yes,Yes,41,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),19.5,798.20001220703125,no
2320-TZRRH,Female,0,No,No,20,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,19.5,403.14999389648438,no
4451-RWASJ,Male,0,Yes,Yes,15,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,19.5,239.75,no
9639-BUJXT,Male,0,No,No,63,Tenure_gt_60,Yes,No,No,No,No,No,No,No,No,One year,No,Mailed check,20.5,1328.1500244140625,no
4378-BZYFP,Male,0,No,No,17,Tenure_12-24,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,20.5,365.79998779296875,no
0129-QMPDR,Male,0,Yes,Yes,44,Tenure_24-48,Yes,No,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),20.5,865.04998779296875,no
8189-DUKMV,Female,0,Yes,No,4,Tenure_0-12,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),20.5,79.050003051757812,no
